What is the total rainfall of the year 2010 in Bihar?,1
"What is average Rainfall in the month of june,july,sept in year 2000 in west bengal?",1
find the Maximum Temperature of kolkata in 2000.?,1
What is the total rainfall of the year 2020 in Odisha?,1
find the Maximum Temperature of kolkata in 2000.?,1
What is average Rainfall in Bihar in year 2000?,1
find the average temperature of west bengal in 2000?,1
is wheat available in crop table?,1
What is the total rainfall of Kerala in the year 2010?,1
What are the type of season are there in the database?,1
What is the purpose of education in society?,0
What causes day and night on Earth?,0
Why do seasons change?a,0
What is the role of money in daily life?,0
What is a government?,0
Why do humans need sleep?,0
What is climate change?,0
What is the importance of clean drinking water?,0
What is the role of transportation in economic growth?,0
Why do people form communities?,0
What is the capital of India?,0
What is the largest ocean on Earth?,0
Who was the first President of India?,0
Which planet is known as the Red Planet?,0
What is the national animal of India?,0
Which continent is the Sahara Desert located in?,0
What gas do humans primarily need to breathe?,0
What is the tallest mountain in the world?,0
Which country is known as the Land of the Rising Sun?,0
How many days are there in a leap year?,0
What is the capital of India?,0
What is the largest ocean on Earth?,0
Who was the first President of India?,0
Which planet is known as the Red Planet?,0
What is the national animal of India?,0
Which continent is the Sahara Desert located in?,0
What gas do humans primarily need to breathe?,0
What is the tallest mountain in the world?,0
Which country is known as the Land of the Rising Sun?,0
How many days are there in a leap year?,0
What is feature engineering in machine learning?,0
Why is feature engineering important for model performance?,0
What is the difference between a feature and a label?,0
"What is feature scaling, and why is it needed?",0
What is normalization vs standardization?,0
Why do we handle missing values before training a model?,0
What is categorical encoding?,0
What is feature selection?,0
"What is overfitting, and how can feature engineering help reduce it?",0
Why is domain knowledge important in feature engineering?,0
